iter	Passed	Remaining
406	6574	9578
407	6590	9563
408	6609	9550
409	6626	9535
410	6640	9516
411	6655	9498
412	6670	9480
413	6683	9460
414	6697	9441
415	6716	9428
416	6732	9413
417	6747	9395
418	6766	9383
419	6780	9363
420	6795	9346
421	6812	9330
422	6829	9316
423	6845	9300
424	6859	9280
425	6875	9263
426	6890	9246
427	6903	9226
428	6919	9210
429	6933	9191
430	6947	9172
431	6962	9154
432	6974	9133
433	6989	9115
434	7005	9099
435	7020	9081
436	7039	9068
437	7056	9054
438	7073	9039
439	7090	9024
440	7104	9006
441	7120	8989
442	7137	8974
443	7151	8955
444	7166	8937
445	7179	8918
446	7194	8900
447	7208	8882
448	7223	8864
449	7240	8849
450	7257	8834
451	7275	8820
452	7289	8802
453	7303	8783
454	7317	8764
455	7331	8746
456	7347	8730
457	7364	8715
458	7380	8698
459	7394	8680
460	7410	8664
461	7424	8645
462	7441	8630
463	7456	8613
464	7473	8598
465	7489	8581
466	7502	8562
467	7516	8544
468	7531	8526
469	7543	8506
470	7555	8486
471	7570	8468
472	7585	8451
473	7598	8432
474	7615	8417
475	7628	8397
476	7639	8376
477	7654	8358
478	7669	8341
479	7687	8328
480	7703	8311
481	7718	8294
482	7734	8278
483	7748	8260
484	7763	8244
485	7778	8226
486	7796	8212
487	7813	8197
488	7829	8181
489	7844	8165
490	7859	8148
491	7875	8131
492	7892	8116
493	7911	8103
494	7929	8090
495	7944	8072
496	7957	8053
497	7970	8034
498	7985	8017
499	7999	7999
500	8015	7983
501	8032	7968
502	8045	7949
503	8061	7933
504	8076	7916
505	8096	7904
506	8113	7889
507	8128	7872
508	8144	7856
509	8157	7837
510	8171	7819
511	8187	7804
512	8201	7785
513	8218	7771
514	8235	7756
515	8249	7738
516	8263	7720
517	8279	7704
518	8294	7686
519	8309	7670
520	8324	7653
521	8340	7637
522	8357	7622
523	8375	7608
524	8393	7594
525	8408	7577
526	8424	7560
527	8438	7543
528	8453	7526
529	8468	7510
530	8485	7494
531	8502	7479
532	8519	7464
533	8538	7451
534	8558	7438
535	8577	7424
536	8590	7406
537	8604	7389
538	8619	7372
539	8636	7357
540	8651	7340
541	8666	7323
542	8681	7306
543	8694	7288
544	8709	7271
545	8725	7255
546	8739	7237
547	8755	7221
548	8772	7206
549	8787	7189
550	8805	7175
551	8818	7157
552	8834	7141
553	8851	7125
554	8866	7109
555	8883	7093
556	8898	7077
557	8911	7059
558	8927	7042
559	8942	7025
560	8958	7010
561	8975	6995
562	8991	6979
563	9009	6964
564	9023	6947
565	9038	6930
566	9054	6914
567	9071	6899
568	9087	6883
569	9104	6868
570	9118	6850
571	9132	6833
572	9148	6817
573	9164	6801
574	9183	6787
575	9201	6773
576	9220	6759
577	9236	6743
578	9250	6725
579	9267	6710
580	9280	6692
581	9295	6676
582	9310	6659
583	9325	6642
584	9341	6627
585	9355	6609
586	9371	6593
587	9388	6578
588	9404	6562
589	9423	6548
590	9438	6531
591	9453	6515
592	9467	6497
593	9481	6480
594	9496	6463
595	9510	6446
596	9524	6429
597	9539	6413
598	9554	6396
599	9587	6391
600	9599	6373
601	9614	6356
602	9631	6341
603	9647	6325
604	9661	6308
605	9677	6292
606	9694	6276
607	9710	6260
608	9725	6244
609	9741	6228
610	9758	6212
611	9772	6195
612	9787	6178
613	9803	6162
614	9821	6148
615	9840	6134
616	9857	6119
617	9876	6105
618	9890	6087
619	9905	6070
620	9920	6054
621	9934	6037
622	9949	6020
623	9963	6003
624	9976	5986
625	9993	5970
626	10006	5953
627	10024	5938
628	10041	5922
629	10057	5906
630	10073	5890
631	10086	5873
632	10098	5855
633	10113	5838
634	10127	5821
635	10142	5804
636	10158	5789
637	10172	5771
638	10189	5756
639	10204	5739
640	10220	5724
641	10238	5709
642	10258	5695
643	10275	5680
644	10289	5663
645	10303	5646
646	10317	5628
647	10332	5612
648	10349	5597
649	10363	5580
650	10381	5565
651	10396	5549
652	10413	5533
653	10434	5520
654	10453	5506
655	10470	5490
656	10486	5474
657	10502	5458
658	10517	5442
659	10531	5425
660	10547	5409
661	10561	5392
662	10576	5376
663	10589	5358
664	10603	5341
665	10618	5325
666	10633	5308
667	10650	5293
668	10669	5278
669	10688	5264
670	10704	5248
671	10718	5231
672	10733	5215
673	10749	5199
674	10767	5184
675	10784	5168
676	10797	5151
677	10813	5135
678	10828	5119
679	10843	5102
680	10860	5087
681	10877	5071
682	10894	5056
683	10911	5040
684	10928	5025
685	10945	5010
686	10962	4994
687	10977	4978
688	10993	4962
689	11009	4946
690	11023	4929
691	11036	4912
692	11049	4895
693	11066	4879
694	11083	4864
695	11101	4848
696	11118	4833
697	11133	4817
698	11148	4800
699	11162	4783
700	11176	4767
701	11190	4750
702	11206	4734
703	11220	4717
704	11235	4701
705	11249	4684
706	11267	4669
707	11282	4653
708	11300	4638
709	11317	4622
710	11333	4606
711	11347	4590
712	11360	4572
713	11372	4555
714	11386	4538
715	11398	4521
716	11411	4504
717	11426	4488
718	11441	4471
719	11454	4454
720	11467	4437
721	11480	4420
722	11496	4404
723	11511	4388
724	11528	4373
725	11581	4371
726	11601	4356
727	11618	4340
728	11635	4325
729	11650	4308
730	11666	4293
731	11682	4277
732	11701	4262
733	11718	4246
734	11733	4230
735	11752	4215
736	11765	4198
737	11777	4181
738	11794	4165
739	11807	4148
740	11822	4132
741	11836	4115
742	11849	4098
743	11863	4081
744	11878	4065
745	11892	4049
746	11908	4033
747	11924	4017
748	11941	4001
749	11961	3987
750	11980	3972
751	11998	3956
752	12012	3940
753	12026	3923
754	12042	3907
755	12055	3890
756	12072	3875
757	12087	3859
758	12104	3843
759	12122	3828
760	12139	3812
761	12156	3796
762	12172	3781
763	12187	3764
764	12203	3748
765	12219	3732
766	12234	3716
767	12251	3700
768	12264	3684
769	12279	3668
770	12293	3651
771	12308	3635
772	12324	3619
773	12339	3603
774	12356	3587
775	12374	3572
776	12391	3556
777	12407	3540
778	12420	3523
779	12434	3507
780	12450	3491
781	12463	3474
782	12477	3458
783	12493	3442
784	12508	3425
785	12523	3409
786	12541	3394
787	12557	3378
788	12576	3363
789	12593	3347
790	12609	3331
791	12625	3315
792	12640	3299
793	12659	3284
794	12674	3268
795	12689	3252
796	12703	3235
797	12718	3219
798	12732	3203
799	12747	3186
800	12765	3171
801	12782	3155
802	12799	3140
803	12818	3124
804	12833	3108
805	12844	3091
806	12860	3075
807	12875	3059
808	12891	3043
809	12905	3027
810	12921	3011
811	12936	2995
812	12957	2980
813	12977	2965
814	12997	2950
815	13014	2934
816	13031	2918
817	13047	2902
818	13064	2887
819	13078	2870
820	13091	2854
821	13107	2838
822	13121	2821
823	13137	2805
824	13151	2789
825	13166	2773
826	13184	2758
827	13201	2742
828	13219	2726
829	13235	2710
830	13253	2695
831	13270	2679
832	13285	2663
833	13301	2647
834	13316	2631
835	13334	2615
836	13349	2599
837	13364	2583
838	13382	2568
839	13398	2552
840	13414	2536
841	13431	2520
842	13449	2504
843	13466	2489
844	13478	2472
845	13493	2456
846	13507	2439
847	13523	2424
848	13537	2407
849	13552	2391
850	13564	2374
851	13578	2358
852	13593	2342
853	13610	2326
854	13628	2311
855	13641	2294
856	13653	2278
857	13672	2262
858	13687	2246
859	13702	2230
860	13718	2214
861	13732	2198
862	13746	2182
863	13762	2166
864	13777	2150
865	13794	2134
866	13809	2118
867	13825	2102
868	13846	2087
869	13861	2071
870	13878	2055
871	13894	2039
872	13907	2023
873	13922	2007
874	13936	1990
875	13951	1974
876	13967	1959
877	13980	1942
878	13994	1926
879	14009	1910
880	14022	1894
881	14038	1878
882	14062	1863
883	14082	1847
884	14101	1832
885	14118	1816
886	14131	1800
887	14145	1784
