iter	RMSE
341	32269.40031
342	32257.37395
343	32239.94813
344	32220.10847
345	32183.90095
346	32176.22648
347	32166.99629
348	32159.09566
349	32151.14889
350	32146.38969
351	32139.24429
352	32124.97431
353	32113.14751
354	32098.16783
355	32088.23026
356	32086.48752
357	32067.66551
358	32056.62217
359	32054.98149
360	32044.67424
361	32027.61583
362	32011.6338
363	32003.36281
364	31989.17298
365	31987.54702
366	31976.56763
367	31970.22217
368	31963.06692
369	31961.53836
370	31952.33267
371	31945.02488
372	31930.1166
373	31915.92194
374	31902.66027
375	31893.91364
376	31879.5586
377	31872.98612
378	31860.00204
379	31856.22663
380	31847.13778
381	31840.56541
382	31827.80557
383	31823.9921
384	31818.69078
385	31815.37184
386	31808.22509
387	31800.26175
388	31797.13434
389	31780.60085
390	31761.96986
391	31746.78485
392	31734.17575
393	31724.74905
394	31706.0481
395	31702.82357
396	31700.1094
397	31693.43256
398	31690.99307
399	31682.49742
400	31669.62886
401	31661.94646
402	31654.25529
403	31644.24324
404	31628.59452
405	31617.47549
406	31590.48088
407	31584.79659
408	31571.87538
409	31562.80624
410	31551.3709
411	31540.6719
412	31514.75903
413	31501.3672
414	31492.60491
415	31469.97678
416	31462.93505
417	31450.61416
418	31438.84862
419	31429.42758
420	31419.22868
421	31410.339
422	31399.13443
423	31393.91952
424	31379.9794
425	31371.03868
426	31360.59528
427	31352.65346
428	31345.35777
429	31340.2456
430	31333.1616
431	31325.51391
432	31321.31129
433	31314.86275
434	31304.27557
435	31299.0279
436	31282.70491
437	31277.46165
438	31267.0268
439	31257.7423
440	31252.41099
441	31246.73108
442	31240.00637
443	31234.07115
444	31222.06082
445	31215.355
446	31208.88431
447	31192.61543
448	31188.08055
449	31179.17505
450	31171.45736
451	31140.38898
452	31130.28973
453	31121.9981
454	31118.60481
455	31110.73489
456	31093.47078
457	31079.18534
458	31064.35077
459	31056.69201
460	31026.74804
461	31020.62723
462	30988.88491
463	30983.84285
464	30974.1922
465	30965.62414
466	30961.84488
467	30954.9764
468	30947.87303
469	30938.91174
470	30931.47957
471	30912.73219
472	30904.27778
473	30884.27902
474	30876.88535
475	30868.51278
476	30861.91153
477	30854.16235
478	30845.7962
479	30839.41322
480	30835.37358
481	30821.02082
482	30807.54203
483	30801.63086
484	30791.17854
485	30778.81468
486	30771.04154
487	30764.57193
488	30750.45552
489	30743.12299
490	30738.1315
491	30720.04013
492	30706.16095
493	30692.90954
494	30676.02663
495	30672.74961
496	30667.35939
497	30661.32011
498	30650.80395
499	30647.18094
500	30640.24328
501	30634.84875
502	30629.38555
503	30624.14239
504	30620.13265
505	30612.30616
506	30598.07363
507	30582.32605
508	30579.84268
509	30574.79285
510	30548.12412
511	30526.48438
512	30511.45647
513	30502.01557
514	30490.00221
515	30484.12478
516	30476.48253
517	30467.95126
518	30460.65806
519	30455.11053
520	30452.34289
521	30447.68212
522	30427.63554
523	30415.76505
524	30408.86258
525	30406.08332
526	30399.31817
527	30393.91091
528	30385.56174
529	30372.8406
530	30363.14377
531	30357.52011
532	30352.96247
533	30343.57364
534	30332.86351
535	30323.88916
536	30318.46983
537	30309.74591
538	30299.86553
539	30295.8456
540	30291.20712
541	30283.7172
542	30280.15926
543	30272.29391
544	30267.38657
545	30259.99545
546	30246.59763
547	30242.83866
548	30239.48758
549	30236.49391
550	30231.69957
551	30224.8041
552	30215.9201
553	30211.33526
554	30203.63482
555	30198.26774
556	30193.06072
557	30189.58954
558	30184.68383
559	30178.22372
560	30174.52641
561	30164.43961
562	30147.03973
563	30138.64831
564	30135.54273
565	30130.15706
566	30123.15227
567	30117.50897
568	30114.46874
569	30107.95144
570	30102.16745
571	30098.15994
572	30094.17704
573	30090.24532
574	30084.94509
575	30076.9445
576	30072.30577
577	30067.74444
578	30056.57871
579	30052.84581
580	30048.74441
581	30039.4366
582	30015.72713
583	30011.4606
584	30003.97704
585	29992.72146
586	29987.41355
587	29984.17221
588	29979.38762
589	29971.94925
590	29967.28903
591	29962.95256
592	29958.97688
593	29949.18963
594	29940.94989
595	29937.64435
596	29928.15684
597	29921.1887
598	29918.20854
599	29915.3926
600	29910.72361
601	29906.6772
602	29902.80592
603	29896.66019
604	29893.78864
605	29884.15855
606	29874.87217
607	29871.11235
608	29864.97542
609	29856.95754
610	29843.04121
611	29838.97731
612	29835.33266
613	29832.92195
614	29824.11836
615	29820.93568
616	29816.51769
617	29809.28038
618	29805.77148
619	29799.51956
620	29797.1459
621	29785.97303
622	29780.19227
623	29776.7872
624	29773.41804
625	29766.9093
626	29755.27532
627	29746.9873
628	29743.26515
629	29728.7664
630	29725.56359
631	29722.99053
632	29720.17234
633	29716.40514
634	29711.19902
635	29697.61126
636	29690.18985
637	29686.22335
638	29682.81566
639	29675.56499
640	29672.37775
641	29662.65171
642	29656.28621
643	29648.33556
644	29646.25639
645	29642.03037
646	29637.91212
647	29634.22644
648	29627.3204
649	29615.73952
650	29608.053
651	29603.98439
652	29600.82293
653	29595.9237
654	29585.85706
655	29582.39639
656	29578.7777
657	29572.76339
658	29566.75602
659	29532.49025
660	29525.36101
661	29521.3454
662	29515.6998
663	29511.17905
664	29508.60336
665	29505.06548
666	29498.74889
667	29496.85983
668	29491.49499
669	29489.06445
670	29485.05125
671	29472.43899
672	29466.38451
673	29461.75109
674	29453.73578
675	29448.1099
676	29446.51926
677	29444.0928
678	29440.46336
679	29435.17013
680	29429.29248
681	29425.73664
682	29419.57458
683	29414.4554
684	29413.00792
685	29409.82653
686	29404.16371
687	29402.47241
688	29397.9849
689	29390.23512
690	29384.69333
691	29380.10056
692	29375.48142
693	29368.0758
694	29361.66578
695	29358.81038
696	29355.28737
697	29351.70926
698	29348.80526
699	29346.11032
700	29331.84813
701	29327.9762
702	29322.18616
